a1,a2,a3,a4,a5,a6,a7,a8,b1,b2,b3,b4,b5,b6,b7,b8,c1,c2,c3,c4,c5,c6,c7,c8,d1,d2,d3,d4,d5,d6,d7,d8,e1,e2,e3,e4,e5,e6,e7,e8,f1,f2,f3,f4,f5,f6,f7,f8,g1,g2,g3,g4,g5,g6,g7,g8,h1,h2,h3,h4,h5,h6,h7,h8,WhiteCanCastleKing,WhiteCanCastleQueen,BlackCanCastleKing,BlackCanCastleQueen,EnPassantFile,PlayerToMove,Result
4,1,0,0,0,0,7,10,2,1,0,0,0,0,7,8,3,1,0,0,0,0,7,9,5,1,0,0,0,0,7,11,6,1,0,0,0,0,7,12,3,1,0,0,0,0,7,9,2,1,0,0,0,0,7,8,4,1,0,0,0,0,7,10,1,1,1,1,-1,0,0
4,1,0,0,0,0,7,10,2,1,0,0,0,0,7,8,3,1,0,0,0,0,7,9,5,1,0,0,0,0,7,11,6,0,0,1,0,0,7,12,3,1,0,0,0,0,7,9,2,1,0,0,0,0,7,8,4,1,0,0,0,0,7,10,1,1,1,1,4,1,0
4,1,0,0,0,0,7,10,2,1,0,0,0,0,7,8,3,1,0,0,0,0,7,9,5,1,0,0,0,0,7,11,6,0,0,1,0,7,0,12,3,1,0,0,0,0,7,9,2,1,0,0,0,0,7,8,4,1,0,0,0,0,7,10,1,1,1,1,-1,0,0
4,1,0,0,0,0,7,10,2,1,0,0,0,0,7,8,3,1,0,0,0,0,7,9,5,0,0,1,0,0,7,11,6,0,0,1,0,7,0,12,3,1,0,0,0,0,7,9,2,1,0,0,0,0,7,8,4,1,0,0,0,0,7,10,1,1,1,1,3,1,0
4,1,0,0,0,0,7,10,2,1,0,0,0,0,7,8,3,1,0,0,0,0,7,9,5,0,0,1,7,0,0,11,6,0,0,1,0,7,0,12,3,1,0,0,0,0,7,9,2,1,0,0,0,0,7,8,4,1,0,0,0,0,7,10,1,1,1,1,3,0,0
4,1,0,0,0,0,7,10,0,1,0,0,0,0,7,8,3,1,2,0,0,0,7,9,5,0,0,1,7,0,0,11,6,0,0,1,0,7,0,12,3,1,0,0,0,0,7,9,2,1,0,0,0,0,7,8,4,1,0,0,0,0,7,10,1,1,1,1,-1,1,0
4,1,0,0,0,0,7,10,0,1,0,0,0,0,7,8,3,1,2,0,0,0,7,9,5,0,0,1,7,0,0,11,6,0,0,1,0,7,0,12,3,1,0,0,0,8,7,9,2,1,0,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,-1,0,0
4,1,0,0,0,0,7,10,0,1,0,0,0,0,7,8,3,1,2,0,0,0,7,9,5,0,0,1,7,0,0,11,6,0,0,0,1,7,0,12,3,1,0,0,0,8,7,9,2,1,0,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,-1,1,0
4,1,0,0,0,0,7,10,0,1,0,0,0,0,7,8,3,1,2,0,0,0,7,9,5,0,0,1,7,0,8,11,6,0,0,0,1,7,0,12,3,1,0,0,0,0,7,9,2,1,0,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,-1,0,0
4,1,0,0,0,0,7,10,0,1,0,0,0,0,7,8,3,1,0,0,0,0,7,9,5,0,0,1,7,0,8,11,6,2,0,0,1,7,0,12,3,1,0,0,0,0,7,9,2,1,0,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,-1,1,0
4,1,0,0,0,0,7,10,0,1,0,0,0,0,7,8,3,1,0,0,7,0,0,9,5,0,0,1,7,0,8,11,6,2,0,0,1,7,0,12,3,1,0,0,0,0,7,9,2,1,0,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,2,0,0
4,1,0,0,0,0,7,10,0,1,0,0,0,0,7,8,3,0,1,0,7,0,0,9,5,0,0,1,7,0,8,11,6,2,0,0,1,7,0,12,3,1,0,0,0,0,7,9,2,1,0,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,-1,1,0
4,1,0,0,0,0,7,10,0,1,0,0,0,0,7,0,3,0,1,0,7,8,0,9,5,0,0,1,7,0,8,11,6,2,0,0,1,7,0,12,3,1,0,0,0,0,7,9,2,1,0,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,-1,0,0
4,1,0,0,0,0,7,10,0,1,0,0,0,0,7,0,3,0,1,0,7,8,0,9,5,0,0,1,7,0,8,11,6,2,0,0,1,7,0,12,3,0,0,1,0,0,7,9,2,1,0,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,5,1,0
4,1,0,0,0,0,7,10,0,1,0,0,0,11,7,0,3,0,1,0,7,8,0,9,5,0,0,1,7,0,8,0,6,2,0,0,1,7,0,12,3,0,0,1,0,0,7,9,2,1,0,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,-1,0,0
4,1,0,0,0,0,7,10,0,1,0,0,0,11,7,0,3,0,1,0,7,8,0,9,5,0,0,1,7,0,8,0,6,2,0,0,1,7,0,12,3,0,2,1,0,0,7,9,0,1,0,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,-1,1,0
4,1,0,0,0,0,7,10,0,1,0,0,0,11,7,0,3,0,1,0,7,8,0,9,5,0,0,1,7,0,8,0,6,2,0,0,1,7,0,12,3,0,2,1,0,7,0,9,0,1,0,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,-1,0,0
4,1,0,0,0,0,7,10,0,1,0,0,0,11,7,0,3,0,1,0,7,8,0,9,5,0,0,1,7,0,8,0,6,2,0,0,1,7,0,12,3,0,2,1,0,7,0,9,0,0,1,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,-1,1,0
4,1,0,0,0,0,7,10,0,1,0,0,0,11,7,0,3,0,1,0,0,8,0,9,5,0,0,7,7,0,8,0,6,2,0,0,1,7,0,12,3,0,2,1,0,7,0,9,0,0,1,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,-1,0,0
4,1,0,0,0,0,7,10,0,1,0,0,0,11,7,0,3,0,0,0,0,8,0,9,5,0,0,1,7,0,8,0,6,2,0,0,1,7,0,12,3,0,2,1,0,7,0,9,0,0,1,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,-1,1,0
4,1,0,0,0,0,7,10,0,1,0,0,0,11,7,0,3,0,0,0,0,8,0,9,5,0,0,1,7,0,8,0,6,2,0,0,7,7,0,12,3,0,2,1,0,0,0,9,0,0,1,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,-1,0,0
4,1,0,0,0,0,7,10,0,1,0,0,0,11,7,0,3,0,0,0,0,8,0,9,5,0,0,1,7,0,8,0,6,2,0,0,1,7,0,12,3,0,2,0,0,0,0,9,0,0,1,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,-1,1,0
4,1,0,0,0,0,7,10,0,1,0,9,0,11,7,0,3,0,0,0,0,8,0,9,5,0,0,1,7,0,8,0,6,2,0,0,1,7,0,12,3,0,2,0,0,0,0,0,0,0,1,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,-1,0,0
4,1,0,0,0,0,7,10,0,1,0,9,0,11,7,0,3,0,2,0,0,8,0,9,5,0,0,1,7,0,8,0,6,0,0,0,1,7,0,12,3,0,2,0,0,0,0,0,0,0,1,0,0,0,7,0,4,1,0,0,0,0,7,10,1,1,1,1,-1,1,0
4,1,0,0,0,0,7,10,0,1,0,9,0,11,7,0,3,0,2,0,0,8,0,9,5,0,0,1,7,0,8,0,6,0,0,0,1,7,0,0,3,0,2,0,0,0,0,10,0,0,1,0,0,0,7,12,4,1,0,0,0,0,7,0,1,1,0,0,-1,0,0
4,1,0,0,0,0,7,10,0,1,0,9,0,11,7,0,0,0,2,0,0,8,0,9,5,0,0,1,7,0,8,0,6,0,0,0,1,7,0,0,3,0,2,3,0,0,0,10,0,0,1,0,0,0,7,12,4,1,0,0,0,0,7,0,1,1,0,0,-1,1,0
4,1,0,0,0,0,7,10,0,1,0,0,0,11,7,0,0,0,2,0,0,8,0,9,5,0,0,1,7,0,8,0,6,0,0,0,1,7,9,0,3,0,2,3,0,0,0,10,0,0,1,0,0,0,7,12,4,1,0,0,0,0,7,0,1,1,0,0,-1,0,0
4,1,0,0,0,0,7,10,0,1,0,0,0,11,7,0,0,0,2,0,0,8,0,9,5,0,0,1,7,0,8,0,6,0,0,0,1,7,9,0,0,0,2,3,0,0,0,10,0,0,1,0,0,0,7,12,4,1,3,0,0,0,7,0,1,1,0,0,-1,1,0
4,1,0,0,0,0,7,10,0,11,0,0,0,0,7,0,0,0,2,0,0,8,0,9,5,0,0,1,7,0,8,0,6,0,0,0,1,7,9,0,0,0,2,3,0,0,0,10,0,0,1,0,0,0,7,12,4,1,3,0,0,0,7,0,1,1,0,0,-1,0,0
4,1,0,0,0,0,7,10,0,11,0,0,0,0,7,0,5,0,2,0,0,8,0,9,0,0,0,1,7,0,8,0,6,0,0,0,1,7,9,0,0,0,2,3,0,0,0,10,0,0,1,0,0,0,7,12,4,1,3,0,0,0,7,0,1,1,0,0,-1,1,0
4,1,0,0,0,0,7,10,0,0,0,0,0,0,7,0,11,0,2,0,0,8,0,9,0,0,0,1,7,0,8,0,6,0,0,0,1,7,9,0,0,0,2,3,0,0,0,10,0,0,1,0,0,0,7,12,4,1,3,0,0,0,7,0,1,1,0,0,-1,0,0
0,1,0,0,0,0,7,10,0,0,0,0,0,0,7,0,4,0,2,0,0,8,0,9,0,0,0,1,7,0,8,0,6,0,0,0,1,7,9,0,0,0,2,3,0,0,0,10,0,0,1,0,0,0,7,12,4,1,3,0,0,0,7,0,1,0,0,0,-1,1,0
0,1,0,0,0,0,7,10,0,0,0,0,0,8,7,0,4,0,2,0,0,8,0,9,0,0,0,1,7,0,0,0,6,0,0,0,1,7,9,0,0,0,2,3,0,0,0,10,0,0,1,0,0,0,7,12,4,1,3,0,0,0,7,0,1,0,0,0,-1,0,0
0,1,0,0,0,0,7,10,0,0,0,0,2,8,7,0,4,0,0,0,0,8,0,9,0,0,0,1,7,0,0,0,6,0,0,0,1,7,9,0,0,0,2,3,0,0,0,10,0,0,1,0,0,0,7,12,4,1,3,0,0,0,7,0,1,0,0,0,-1,1,0
0,1,0,0,0,0,7,10,0,0,0,0,2,8,7,0,4,0,0,0,0,0,0,9,0,0,0,1,7,0,0,8,6,0,0,0,1,7,9,0,0,0,2,3,0,0,0,10,0,0,1,0,0,0,7,12,4,1,3,0,0,0,7,0,1,0,0,0,-1,0,0
0,1,0,0,0,0,7,10,0,0,0,0,0,8,7,0,4,0,0,0,0,0,2,9,0,0,0,1,7,0,0,8,6,0,0,0,1,7,9,0,0,0,2,3,0,0,0,10,0,0,1,0,0,0,7,12,4,1,3,0,0,0,7,0,1,0,0,0,-1,1,0
0,1,0,0,0,0,7,0,0,0,0,0,0,8,7,10,4,0,0,0,0,0,2,9,0,0,0,1,7,0,0,8,6,0,0,0,1,7,9,0,0,0,2,3,0,0,0,10,0,0,1,0,0,0,7,12,4,1,3,0,0,0,7,0,1,0,0,0,-1,0,0
0,1,0,0,0,0,7,0,0,0,0,0,0,8,7,10,4,0,0,0,0,0,2,9,0,0,0,1,7,0,0,8,0,0,0,0,1,7,9,0,4,0,2,3,0,0,0,10,6,0,1,0,0,0,7,12,0,1,3,0,0,0,7,0,0,0,0,0,-1,1,0
0,1,0,0,0,0,7,0,0,0,0,0,0,8,7,10,4,0,0,0,0,0,2,9,0,0,0,1,7,0,0,8,0,0,0,0,1,7,9,0,4,0,2,3,0,0,0,10,6,0,1,0,0,0,7,12,0,1,3,0,0,7,0,0,0,0,0,0,-1,0,0
0,1,0,0,0,0,7,0,0,0,0,0,0,8,7,10,4,0,0,0,0,0,2,9,0,3,0,1,7,0,0,8,0,0,0,0,1,7,9,0,4,0,2,0,0,0,0,10,6,0,1,0,0,0,7,12,0,1,3,0,0,7,0,0,0,0,0,0,-1,1,0
0,1,0,0,0,0,7,0,0,0,0,0,0,0,7,10,4,0,0,8,0,0,2,9,0,3,0,1,7,0,0,8,0,0,0,0,1,7,9,0,4,0,2,0,0,0,0,10,6,0,1,0,0,0,7,12,0,1,3,0,0,7,0,0,0,0,0,0,-1,0,0
0,1,0,0,0,0,7,0,0,0,0,0,0,0,7,10,4,0,3,8,0,0,2,9,0,0,0,1,7,0,0,8,0,0,0,0,1,7,9,0,4,0,2,0,0,0,0,10,6,0,1,0,0,0,7,12,0,1,3,0,0,7,0,0,0,0,0,0,-1,1,0
0,1,0,0,0,0,7,0,0,0,0,0,7,0,0,10,4,0,3,8,0,0,2,9,0,0,0,1,7,0,0,8,0,0,0,0,1,7,9,0,4,0,2,0,0,0,0,10,6,0,1,0,0,0,7,12,0,1,3,0,0,7,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,7,0,0,0,0,0,7,0,0,10,4,0,3,8,0,0,2,9,0,0,0,1,7,0,0,8,0,0,0,0,1,7,9,0,4,0,0,0,0,0,0,10,6,0,1,0,0,0,7,12,0,1,3,2,0,7,0,0,0,0,0,0,-1,1,0
0,1,0,0,0,0,7,0,0,0,0,0,7,0,0,10,4,0,3,8,0,0,2,9,0,0,0,1,7,0,0,8,0,0,0,0,1,7,9,0,10,0,0,0,0,0,0,0,6,0,1,0,0,0,7,12,0,1,3,2,0,7,0,0,0,0,0,0,-1,0,0
0,1,0,0,0,0,7,0,0,0,0,0,7,0,0,10,4,0,3,8,0,0,2,9,0,0,0,1,7,0,0,8,0,0,0,0,1,7,9,0,3,0,0,0,0,0,0,0,6,0,1,0,0,0,7,12,0,1,0,2,0,7,0,0,0,0,0,0,-1,1,0
0,1,0,0,0,0,7,0,0,0,0,0,7,0,10,0,4,0,3,8,0,0,2,9,0,0,0,1,7,0,0,8,0,0,0,0,1,7,9,0,3,0,0,0,0,0,0,0,6,0,1,0,0,0,7,12,0,1,0,2,0,7,0,0,0,0,0,0,-1,0,0
0,1,0,0,0,2,7,0,0,0,0,0,7,0,10,0,4,0,3,8,0,0,0,9,0,0,0,1,7,0,0,8,0,0,0,0,1,7,9,0,3,0,0,0,0,0,0,0,6,0,1,0,0,0,7,12,0,1,0,2,0,7,0,0,0,0,0,0,-1,1,0
0,1,0,0,0,2,7,0,0,0,0,0,7,0,10,0,4,0,3,8,0,8,0,9,0,0,0,1,7,0,0,0,0,0,0,0,1,7,9,0,3,0,0,0,0,0,0,0,6,0,1,0,0,0,7,12,0,1,0,2,0,7,0,0,0,0,0,0,-1,0,0
0,1,0,0,0,2,7,0,0,0,0,0,7,0,10,0,4,0,3,8,0,8,0,9,0,0,0,1,7,0,0,0,0,0,0,0,1,7,9,0,3,0,0,0,0,0,0,0,6,0,1,0,0,2,7,12,0,1,0,0,0,7,0,0,0,0,0,0,-1,1,0
0,1,0,0,0,2,7,0,0,0,0,0,7,0,10,0,4,0,3,8,0,8,0,9,0,0,0,1,7,0,0,0,0,0,0,0,1,7,0,0,3,0,0,0,0,0,0,0,6,0,1,0,9,2,7,12,0,1,0,0,0,7,0,0,0,0,0,0,-1,0,0
0,1,0,0,0,2,7,0,0,0,0,0,7,0,10,0,0,0,3,8,0,8,0,9,4,0,0,1,7,0,0,0,0,0,0,0,1,7,0,0,3,0,0,0,0,0,0,0,6,0,1,0,9,2,7,12,0,1,0,0,0,7,0,0,0,0,0,0,-1,1,0
0,1,0,0,0,2,7,0,0,0,0,7,0,0,10,0,0,0,3,8,0,8,0,9,4,0,0,1,7,0,0,0,0,0,0,0,1,7,0,0,3,0,0,0,0,0,0,0,6,0,1,0,9,2,7,12,0,1,0,0,0,7,0,0,0,0,0,0,-1,0,0
3,1,0,0,0,2,7,0,0,0,0,7,0,0,10,0,0,0,0,8,0,8,0,9,4,0,0,1,7,0,0,0,0,0,0,0,1,7,0,0,3,0,0,0,0,0,0,0,6,0,1,0,9,2,7,12,0,1,0,0,0,7,0,0,0,0,0,0,-1,1,0
3,1,0,0,0,2,7,0,0,0,0,7,0,0,0,0,0,0,0,8,0,8,0,9,4,0,0,1,7,0,0,0,0,0,0,0,1,7,0,0,3,0,0,0,0,0,10,0,6,0,1,0,9,2,7,12,0,1,0,0,0,7,0,0,0,0,0,0,-1,0,0
3,1,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,8,2,8,0,9,4,0,0,1,7,0,0,0,0,0,0,0,1,7,0,0,3,0,0,0,0,0,10,0,6,0,1,0,9,2,7,12,0,1,0,0,0,7,0,0,0,0,0,0,-1,1,0
3,1,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,2,8,0,9,4,0,0,1,7,0,0,0,0,0,8,0,1,7,0,0,3,0,0,0,0,0,10,0,6,0,1,0,9,2,7,12,0,1,0,0,0,7,0,0,0,0,0,0,-1,0,0
3,1,0,0,0,0,7,0,4,0,0,7,0,0,0,0,0,0,0,0,2,8,0,9,0,0,0,1,7,0,0,0,0,0,8,0,1,7,0,0,3,0,0,0,0,0,10,0,6,0,1,0,9,2,7,12,0,1,0,0,0,7,0,0,0,0,0,0,-1,1,0
3,1,0,0,0,0,7,0,4,0,0,7,0,0,0,0,0,0,0,0,2,8,0,9,0,0,0,1,7,0,0,0,0,0,0,0,1,7,0,0,8,0,0,0,0,0,10,0,6,0,1,0,9,2,7,12,0,1,0,0,0,7,0,0,0,0,0,0,-1,0,0
3,1,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,2,8,0,9,0,0,0,1,7,0,0,0,0,0,0,0,1,7,0,0,4,0,0,0,0,0,10,0,6,0,1,0,9,2,7,12,0,1,0,0,0,7,0,0,0,0,0,0,-1,1,0
3,1,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,2,8,0,9,0,0,0,1,7,0,0,0,0,0,9,0,1,7,0,0,4,0,0,0,0,0,10,0,6,0,1,0,0,2,7,12,0,1,0,0,0,7,0,0,0,0,0,0,-1,0,0
3,1,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,2,8,0,9,0,0,0,1,7,0,0,0,0,0,9,0,1,7,0,0,4,0,0,0,0,0,10,0,0,6,1,0,0,2,7,12,0,1,0,0,0,7,0,0,0,0,0,0,-1,1,0
3,1,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,8,7,0,0,0,0,0,9,0,1,7,0,0,4,0,0,0,0,0,10,0,0,6,1,0,0,2,7,12,0,1,0,0,0,7,0,0,0,0,0,0,-1,0,0
3,1,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,8,7,0,0,0,4,0,9,0,1,7,0,0,0,0,0,0,0,0,10,0,0,6,1,0,0,2,7,12,0,1,0,0,0,7,0,0,0,0,0,0,-1,1,0
3,1,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,8,7,0,0,0,4,0,9,0,1,7,0,0,0,10,0,0,0,0,0,0,0,6,1,0,0,2,7,12,0,1,0,0,0,7,0,0,0,0,0,0,-1,0,0
3,1,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,8,7,0,0,0,4,0,9,0,1,7,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,2,7,12,0,1,6,0,0,7,0,0,0,0,0,0,-1,1,0
4,1,0,0,0,0,7,10,2,1,0,0,0,0,7,8,3,1,0,0,0,0,7,9,5,1,0,0,0,0,7,11,6,1,0,0,0,0,7,12,3,1,0,0,0,0,7,9,2,1,0,0,0,0,7,8,4,1,0,0,0,0,7,10,1,1,1,1,-1,0,0.5
4,1,0,0,0,0,7,10,2,1,0,0,0,0,7,8,3,1,0,0,0,0,7,9,5,1,0,0,0,0,7,11,6,1,0,0,0,0,7,12,3,1,2,0,0,0,7,9,0,1,0,0,0,0,7,8,4,1,0,0,0,0,7,10,1,1,1,1,-1,1,0.5
4,1,0,0,0,0,7,10,2,1,0,0,0,0,7,8,3,1,0,0,0,0,7,9,5,1,0,0,7,0,0,11,6,1,0,0,0,0,7,12,3,1,2,0,0,0,7,9,0,1,0,0,0,0,7,8,4,1,0,0,0,0,7,10,1,1,1,1,3,0,0.5
4,1,0,0,0,0,7,10,2,1,0,0,0,0,7,8,3,1,0,0,0,0,7,9,5,1,0,0,7,0,0,11,6,1,0,0,0,0,7,12,3,1,2,0,0,0,7,9,0,0,1,0,0,0,7,8,4,1,0,0,0,0,7,10,1,1,1,1,-1,1,0.5
4,1,0,0,0,0,7,10,2,1,0,0,0,0,7,8,3,1,0,0,0,0,7,9,5,1,0,0,7,0,0,11,6,1,0,0,0,0,7,12,3,1,2,0,0,0,7,9,0,0,1,0,0,7,0,8,4,1,0,0,0,0,7,10,1,1,1,1,-1,0,0.5
4,1,0,0,0,0,7,10,2,1,0,0,0,0,7,8,3,1,0,0,0,0,7,9,5,1,0,0,7,0,0,11,6,1,0,0,0,0,7,12,0,1,2,0,0,0,7,9,0,3,1,0,0,7,0,8,4,1,0,0,0,0,7,10,1,1,1,1,-1,1,0.5
4,1,0,0,0,0,7,10,2,1,0,0,0,0,7,8,3,1,0,0,0,0,7,9,5,1,0,0,7,0,0,11,6,1,0,0,0,0,7,12,0,1,2,0,0,0,7,0,0,3,1,0,0,7,9,8,4,1,0,0,0,0,7,10,1,1,1,1,-1,0,0.5
4,1,0,0,0,0,7,10,2,1,0,0,0,0,7,8,3,1,0,0,0,0,7,9,5,0,0,1,7,0,0,11,6,1,0,0,0,0,7,12,0,1,2,0,0,0,7,0,0,3,1,0,0,7,9,8,4,1,0,0,0,0,7,10,1,1,1,1,3,1,0.5
4,1,0,0,0,0,7,10,2,1,0,0,0,0,7,8,3,1,0,0,0,7,0,9,5,0,0,1,7,0,0,11,6,1,0,0,0,0,7,12,0,1,2,0,0,0,7,0,0,3,1,0,0,7,9,8,4,1,0,0,0,0,7,10,1,1,1,1,-1,0,0.5
